"Date","Open","High","Low","Close","Change","Change%"
"2020/01/23","6.9042","6.9369","6.9042","6.9365","0.0326","0.47"
"2020/01/22","6.9058","6.9169","6.8969","6.9039","-0.0009","-0.01"
"2020/01/21","6.8668","6.9086","6.8668","6.9048","0.0385","0.56"
"2020/01/20","6.8588","6.8664","6.8409","6.8663","0.0075","0.11"
"2020/01/17","6.8788","6.8788","6.8525","6.8588","-0.0180","-0.26"
"2020/01/16","6.8908","6.8918","6.8751","6.8768","-0.0130","-0.19"
"2020/01/15","6.8835","6.8978","6.8835","6.8898","0.0062","0.09"
"2020/01/14","6.8923","6.8969","6.8658","6.8836","-0.0087","-0.13"
"2020/01/13","6.9177","6.9192","6.8845","6.8923","-0.0247","-0.36"
"2020/01/10","6.9317","6.9492","6.9165","6.9170","-0.0130","-0.19"
"2020/01/09","6.9446","6.9461","6.9210","6.9300","-0.0146","-0.21"
"2020/01/08","6.9452","6.9540","6.9367","6.9446","0.0004","0.01"
"2020/01/07","6.9748","6.9759","6.9289","6.9442","-0.0306","-0.44"
"2020/01/06","6.9648","6.9785","6.9648","6.9748","0.0108","0.16"
"2020/01/03","6.9641","6.9752","6.9619","6.9640","-0.0001","-0.00"
"2020/01/02","6.9618","6.9738","6.9576","6.9641","0.0050","0.07"
"2020/01/01","6.9617","6.9617","6.9591","6.9591","-0.0026","-0.04"
"2019/12/31","6.9863","6.9867","6.9551","6.9617","-0.0246","-0.35"
"2019/12/30","6.9953","6.9957","6.9789","6.9863","-0.0090","-0.13"
"2019/12/27","6.9949","7.0010","6.9922","6.9953","0.0029","0.04"
"2019/12/26","6.9849","7.0028","6.9849","6.9924","0.0035","0.05"
"2019/12/25","7.0063","7.0063","6.9793","6.9889","-0.0174","-0.25"
"2019/12/24","7.0127","7.0139","7.0029","7.0063","-0.0060","-0.09"
"2019/12/23","7.0062","7.0138","7.0062","7.0123","0.0061","0.09"
"2019/12/20","7.0103","7.0155","7.0034","7.0062","-0.0034","-0.05"
"2019/12/19","7.0049","7.0098","6.9973","7.0096","0.0097","0.14"
"2019/12/18","6.9971","7.0078","6.9917","6.9999","0.0039","0.06"
"2019/12/17","6.9935","7.0024","6.9914","6.9960","0.0040","0.06"
"2019/12/16","6.9847","7.0069","6.9847","6.9920","0.0073","0.10"
"2019/12/13","6.9808","6.9974","6.9598","6.9847","0.0037","0.05"
"2019/12/12","7.0387","7.0387","6.9808","6.9810","-0.0573","-0.81"
"2019/12/11","7.0341","7.0404","7.0337","7.0383","0.0055","0.08"
"2019/12/10","7.0392","7.0411","7.0318","7.0328","-0.0060","-0.09"
"2019/12/09","7.0347","7.0429","7.0302","7.0388","0.0041","0.06"
"2019/12/06","7.0445","7.0496","7.0271","7.0347","-0.0097","-0.14"
"2019/12/05","7.0498","7.0565","7.0358","7.0444","-0.0036","-0.05"
"2019/12/04","7.0612","7.0733","7.0468","7.0480","-0.0128","-0.18"
"2019/12/03","7.0380","7.0609","7.0368","7.0608","0.0229","0.33"
"2019/12/02","7.0307","7.0445","7.0262","7.0379","0.0072","0.10"
"2019/11/29","7.0353","7.0354","7.0201","7.0307","-0.0039","-0.06"
"2019/11/28","7.0279","7.0350","7.0256","7.0346","0.0067","0.10"
"2019/11/27","7.0334","7.0334","7.0176","7.0279","-0.0040","-0.06"
"2019/11/26","7.0348","7.0413","7.0252","7.0319","-0.0029","-0.04"
"2019/11/25","7.0388","7.0399","7.0309","7.0348","-0.0040","-0.06"
"2019/11/22","7.0292","7.0416","7.0248","7.0388","0.0104","0.15"
"2019/11/21","7.0343","7.0444","7.0260","7.0284","-0.0059","-0.08"
"2019/11/20","7.0275","7.0379","7.0272","7.0343","0.0081","0.12"
"2019/11/19","7.0260","7.0290","7.0198","7.0262","0.0017","0.02"
"2019/11/18","7.0074","7.0254","7.0074","7.0245","0.0171","0.24"
"2019/11/15","7.0194","7.0207","6.9994","7.0074","-0.0106","-0.15"
"2019/11/14","7.0234","7.0238","7.0139","7.0180","-0.0042","-0.06"
"2019/11/13","7.0078","7.0260","7.0073","7.0222","0.0157","0.22"
"2019/11/12","7.0097","7.0105","6.9959","7.0065","-0.0032","-0.05"
"2019/11/11","6.9954","7.0113","6.9918","7.0097","0.0144","0.21"
"2019/11/08","6.9783","6.9961","6.9679","6.9953","0.0188","0.27"
"2019/11/07","6.9981","7.0189","6.9680","6.9765","-0.0202","-0.29"
"2019/11/06","7.0072","7.0081","6.9904","6.9967","-0.0114","-0.16"
"2019/11/05","7.0303","7.0303","6.9885","7.0081","-0.0218","-0.31"
"2019/11/04","7.0374","7.0374","7.0230","7.0299","-0.0068","-0.10"
"2019/11/01","7.0393","7.0486","7.0349","7.0367","-0.0011","-0.02"
"2019/10/31","7.0552","7.0552","7.0320","7.0378","-0.0162","-0.23"
"2019/10/30","7.0657","7.0669","7.0537","7.0540","-0.0114","-0.16"
"2019/10/29","7.0677","7.0677","7.0533","7.0654","-0.0015","-0.02"
"2019/10/28","7.0647","7.0685","7.0526","7.0669","0.0023","0.03"
"2019/10/25","7.0689","7.0758","7.0550","7.0646","-0.0037","-0.05"
"2019/10/24","7.0623","7.0725","7.0562","7.0683","0.0063","0.09"
"2019/10/23","7.0760","7.0862","7.0620","7.0620","-0.0141","-0.20"
"2019/10/22","7.0747","7.0831","7.0706","7.0761","0.0021","0.03"
"2019/10/21","7.0804","7.0816","7.0656","7.0740","-0.0064","-0.09"
"2019/10/18","7.0765","7.0873","7.0665","7.0804","0.0039","0.06"
"2019/10/17","7.0919","7.1007","7.0644","7.0765","-0.0155","-0.22"
"2019/10/16","7.0813","7.1029","7.0813","7.0920","0.0106","0.15"
"2019/10/15","7.0634","7.0829","7.0632","7.0814","0.0140","0.20"
"2019/10/14","7.0868","7.0879","7.0474","7.0674","-0.0193","-0.27"
"2019/10/11","7.1142","7.1142","7.0867","7.0867","-0.0285","-0.40"
"2019/10/10","7.1303","7.1303","7.1023","7.1152","-0.0163","-0.23"
"2019/10/09","7.1515","7.1515","7.1227","7.1315","-0.0107","-0.15"
"2019/10/08","7.1476","7.1480","7.1201","7.1422","-0.0055","-0.08"
"2019/10/07","7.1476","7.1483","7.1476","7.1477","0.0001","0.00"
"2019/10/04","7.1476","7.1477","7.1476","7.1476","0.0000","0.00"
"2019/10/03","7.1476","7.1476","7.1476","7.1476","0.0000","0.00"
"2019/10/02","7.1476","7.1476","7.1476","7.1476","-0.0001","-0.00"
"2019/10/01","7.1476","7.1483","7.1476","7.1477","0.0001","0.00"
"2019/09/30","7.1217","7.1477","7.1177","7.1476","0.0259","0.36"
"2019/09/27","7.1299","7.1378","7.1190","7.1217","-0.0084","-0.12"
"2019/09/26","7.1312","7.1348","7.1226","7.1301","-0.0012","-0.02"
"2019/09/25","7.1137","7.1338","7.1080","7.1313","0.0174","0.24"
"2019/09/24","7.1167","7.1208","7.1022","7.1139","-0.0028","-0.04"
"2019/09/23","7.0908","7.1282","7.0900","7.1167","0.0259","0.37"
"2019/09/20","7.0958","7.0972","7.0817","7.0908","-0.0057","-0.08"
"2019/09/19","7.0848","7.1044","7.0848","7.0965","0.0116","0.16"
"2019/09/18","7.0888","7.0915","7.0837","7.0849","-0.0061","-0.09"
"2019/09/17","7.0658","7.0968","7.0658","7.0910","0.0252","0.36"
"2019/09/16","7.0755","7.0793","7.0621","7.0658","-0.0095","-0.13"
"2019/09/13","7.0786","7.0786","7.0753","7.0753","-0.0034","-0.05"
"2019/09/12","7.1150","7.1152","7.0644","7.0787","-0.0380","-0.53"
"2019/09/11","7.1120","7.1222","7.1044","7.1167","0.0046","0.06"
"2019/09/10","7.1209","7.1209","7.0979","7.1121","-0.0089","-0.12"
"2019/09/09","7.1130","7.1346","7.1130","7.1210","0.0080","0.11"
"2019/09/06","7.1467","7.1549","7.1107","7.1130","-0.0337","-0.47"
"2019/09/05","7.1409","7.1548","7.1227","7.1467","0.0019","0.03"
"2019/09/04","7.1768","7.1768","7.1419","7.1448","-0.0337","-0.47"
"2019/09/03","7.1714","7.1842","7.1709","7.1785","0.0070","0.10"
"2019/09/02","7.1542","7.1732","7.1542","7.1715","0.0173","0.24"
"2019/08/30","7.1433","7.1549","7.1376","7.1542","0.0108","0.15"
"2019/08/29","7.1627","7.1703","7.1380","7.1434","-0.0194","-0.27"
"2019/08/28","7.1560","7.1675","7.1535","7.1628","0.0006","0.01"
"2019/08/27","7.1502","7.1688","7.1424","7.1622","0.0119","0.17"
"2019/08/26","7.0927","7.1524","7.0927","7.1503","0.0576","0.81"
"2019/08/23","7.0828","7.0985","7.0707","7.0927","0.0099","0.14"
"2019/08/22","7.0592","7.0931","7.0592","7.0828","0.0205","0.29"
"2019/08/21","7.0596","7.0659","7.0522","7.0623","0.0026","0.04"
"2019/08/20","7.0498","7.0678","7.0497","7.0597","0.0099","0.14"
"2019/08/19","7.0412","7.0507","7.0381","7.0498","0.0086","0.12"
"2019/08/16","7.0326","7.0457","7.0326","7.0412","0.0085","0.12"
"2019/08/15","7.0223","7.0419","7.0165","7.0327","0.0104","0.15"
"2019/08/14","7.0394","7.0394","7.0108","7.0223","-0.0171","-0.24"
"2019/08/13","7.0577","7.0683","7.0394","7.0394","-0.0183","-0.26"
"2019/08/12","7.0612","7.0688","7.0543","7.0577","-0.0035","-0.05"
"2019/08/09","7.0439","7.0613","7.0436","7.0612","0.0161","0.23"
"2019/08/08","7.0380","7.0504","7.0232","7.0451","0.0229","0.33"
"2019/08/07","7.0222","7.0632","7.0222","7.0222","-0.0018","-0.03"
"2019/08/06","7.0457","7.0574","7.0149","7.0240","-0.0217","-0.31"
"2019/08/05","6.9362","7.0513","6.9362","7.0457","0.1071","1.54"
"2019/08/02","6.9013","6.9479","6.9013","6.9386","0.0414","0.60"
"2019/08/01","6.8832","6.9049","6.8831","6.8972","0.0140","0.20"
"2019/07/31","6.8832","6.8879","6.8778","6.8832","-0.0012","-0.02"
"2019/07/30","6.8926","6.8926","6.8751","6.8844","-0.0089","-0.13"
"2019/07/29","6.8784","6.8950","6.8784","6.8933","0.0149","0.22"
"2019/07/26","6.8713","6.8810","6.8709","6.8784","0.0071","0.10"
"2019/07/25","6.8717","6.8764","6.8662","6.8713","-0.0004","-0.01"
"2019/07/24","6.8789","6.8832","6.8678","6.8717","-0.0074","-0.11"
"2019/07/23","6.8802","6.8840","6.8746","6.8791","-0.0011","-0.02"
"2019/07/22","6.8813","6.8825","6.8755","6.8802","-0.0009","-0.01"
"2019/07/19","6.8787","6.8812","6.8712","6.8811","0.0024","0.03"
"2019/07/18","6.8730","6.8809","6.8709","6.8787","0.0051","0.07"
"2019/07/17","6.8752","6.8829","6.8724","6.8736","-0.0016","-0.02"
"2019/07/16","6.8768","6.8788","6.8706","6.8752","-0.0017","-0.02"
"2019/07/15","6.8795","6.8820","6.8700","6.8769","-0.0011","-0.02"
"2019/07/12","6.8681","6.8808","6.8679","6.8780","0.0079","0.11"
"2019/07/11","6.8704","6.8744","6.8576","6.8701","-0.0003","-0.00"
"2019/07/10","6.8829","6.8870","6.8685","6.8704","-0.0175","-0.25"
"2019/07/09","6.8829","6.8880","6.8765","6.8879","0.0061","0.09"
"2019/07/08","6.8924","6.8949","6.8755","6.8818","-0.0106","-0.15"
"2019/07/05","6.8701","6.8928","6.8701","6.8924","0.0209","0.30"
"2019/07/04","6.8805","6.8805","6.8672","6.8715","-0.0096","-0.14"
"2019/07/03","6.8716","6.8923","6.8716","6.8811","0.0083","0.12"
"2019/07/02","6.8486","6.8821","6.8486","6.8728","0.0236","0.34"
"2019/07/01","6.8649","6.8667","6.8320","6.8492","-0.0157","-0.23"
"2019/06/28","6.8761","6.8783","6.8586","6.8649","-0.0121","-0.18"
"2019/06/27","6.8780","6.8836","6.8739","6.8770","-0.0010","-0.01"
"2019/06/26","6.8790","6.8918","6.8647","6.8780","-0.0010","-0.01"
"2019/06/25","6.8719","6.8844","6.8657","6.8790","0.0071","0.10"
"2019/06/24","6.8687","6.8823","6.8659","6.8719","0.0034","0.05"
"2019/06/21","6.8509","6.8779","6.8331","6.8685","0.0166","0.24"
"2019/06/20","6.8995","6.8995","6.8440","6.8519","-0.0476","-0.69"
"2019/06/19","6.9021","6.9074","6.8993","6.8995","-0.0006","-0.01"
"2019/06/18","6.9250","6.9299","6.9001","6.9001","-0.0250","-0.36"
"2019/06/17","6.9246","6.9268","6.9203","6.9251","0.0005","0.01"
"2019/06/14","6.9211","6.9253","6.9201","6.9246","0.0030","0.04"
"2019/06/13","6.9160","6.9224","6.9157","6.9216","0.0040","0.06"
"2019/06/12","6.9106","6.9219","6.9088","6.9176","0.0063","0.09"
"2019/06/11","6.9297","6.9297","6.9077","6.9113","-0.0184","-0.27"
"2019/06/10","6.9056","6.9353","6.9056","6.9297","0.0241","0.35"
"2019/06/07","6.9081","6.9082","6.9056","6.9056","-0.0025","-0.04"
"2019/06/06","6.9083","6.9168","6.9065","6.9081","-0.0009","-0.01"
"2019/06/05","6.9071","6.9142","6.9013","6.9090","0.0019","0.03"
"2019/06/04","6.9020","6.9138","6.8976","6.9071","0.0044","0.06"
"2019/06/03","6.9026","6.9091","6.8977","6.9027","0.0001","0.00"
"2019/05/31","6.9010","6.9134","6.8981","6.9026","0.0008","0.01"
"2019/05/30","6.9137","6.9147","6.8979","6.9018","-0.0126","-0.18"
"2019/05/29","6.9077","6.9174","6.9077","6.9144","0.0067","0.10"
"2019/05/28","6.8972","6.9134","6.8969","6.9077","0.0098","0.14"
"2019/05/27","6.8997","6.9002","6.8807","6.8979","-0.0017","-0.02"
"2019/05/24","6.9086","6.9142","6.8971","6.8996","-0.0090","-0.13"
"2019/05/23","6.9053","6.9192","6.9048","6.9086","0.0023","0.03"
"2019/05/22","6.9006","6.9148","6.8991","6.9063","0.0057","0.08"
"2019/05/21","6.9110","6.9162","6.8965","6.9006","-0.0116","-0.17"
"2019/05/20","6.9182","6.9186","6.8988","6.9122","-0.0059","-0.09"
"2019/05/17","6.8831","6.9182","6.8827","6.9181","0.0344","0.50"
"2019/05/16","6.8797","6.8855","6.8734","6.8837","0.0095","0.14"
"2019/05/15","6.8736","6.8792","6.8631","6.8742","-0.0017","-0.02"
"2019/05/14","6.8764","6.8865","6.8628","6.8759","-0.0005","-0.01"
"2019/05/13","6.8216","6.8804","6.8216","6.8764","0.0548","0.80"
"2019/05/10","6.8255","6.8255","6.7937","6.8216","-0.0039","-0.06"
"2019/05/09","6.7817","6.8287","6.7813","6.8255","0.0438","0.65"
"2019/05/08","6.7754","6.7838","6.7654","6.7817","0.0063","0.09"
"2019/05/07","6.7601","6.7795","6.7594","6.7754","0.0153","0.23"
